references copy
Item type;Authors;Title;Journal;Publication year;Volume;Issue;Pages;Edition;Publisher;Address;Book title;Proceedings title;Conference location;Date published;ISBN;ISSN;URLs;DOI;Abstract;Keywords;Notes;Sub-type;Series
Conference Paper;Agarwal P;Continuous SCRUM: Agile Management of SAAS Products;;2011;;;51–60;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 4th India Software Engineering Conference;Thiruvananthapuram, Kerala, India;2011;9781450305594;;"https://doi-org.proxy.bnl.lu/10.1145/1953355.1953362;http://dx.doi.org/10.1145/1953355.1953362";10.1145/1953355.1953362;"Hosted software-as-a-service products provide an opportunity to provide consumers with continuous deployment of new features, as opposed to scheduled version upgrades as is the norm for products installed on-premise. In order to exploit this opportunity, a SaaS provider needs to adopt an agile process that is capable of releasing new features rapidly. The SCRUM [5,6] process is ideally suited for this purpose: However, when SCRUM has been used for agile development of an installed product, parallel, overlapping 'sprints' are executed by separate teams, each dealing with short, medium, and longer-term enhancements to the product[3]; with the result that version upgrades are therefore easier to manage. In contrast, in the case of a SAAS product, version upgrades are no longer a constraint, so we can do better. In this paper we describe 'Continuous SCRUM', a variant of Type-C SCRUM, augmented with engineering best practices, in a manner ideally suited for managing SAAS products. In our approach, bug-fixes, minor enhancements, as well as major features are released continuously, on a weekly basis by a single team, in contrast to ""Meta-SCRUM"" [3]. We also present field data from our experience with using Continuous SCRUM for a hosted platform-as-a-service product for more than two years. Our experience reinforces other recent evidence [11] that rapid, smaller releases are often preferable to infrequent, larger ones. Continuous SCRUM provides a mechanism to achieve and sustain a rapid release cycle, for SAAS products as well as, we believe, for custom applications developed in-house.";SCRUM, agile process, configuration management, PAAS, continuous deployment, SAAS, release management;;;ISEC '11
Conference Paper;Korlepara P,Grigoriou M,Kontogiannis K,Brealey C,Giammaria A;Combining Domain Expert Knowledge and Machine Learning for the Identification of Error Prone Files;;2021;;;153–162;;IBM Corp.;USA;;Proceedings of the 31st Annual International Conference on Computer Science and Software Engineering;Toronto, Canada;2021;;;;;Identifying as early as possible fault prone modules in order to facilitate continuous delivery in large software systems, has been an area where significant attention has been paid over the past few years. Recent efforts consider source code metrics and process metrics for training machine learning models to predict whether a software source code file is fault prone or not. In such prediction frameworks the accuracy of the trained model relies heavily on the features selected and the profiles of the metrics used for training the model which are unique to each system. Furthermore, these models act as black-boxes, where the end-user does not know how a specific prediction was reached. In this paper, we propose an approach which allows for domain expert knowledge to be combined with machine learning in order to yield fault-proneness prediction models that both exhibit high levels of recall and at the same time are able to provide explanations to the developers as to how and why these predictions were reached. For this paper we apply two rule-based inferencing techniques namely, Fuzzy reasoning, and Markov Logic Networks. The main contribution of this work is that it allows for expert developers to identify in the form of if-then rules domain logic that pertains to the fault-proneness of a source code file in the specific system being analysed. Results obtained from 19 open source systens indicate that MLNs perform better than Fuzzy Logic models and that project-customized rules achieve better results than generic rules. Furthermore, results indicate that its possible to compile a common set of rules that yields consistently acceptable results across different projects.;process metrics, fault-proneness prediction, continuous software engineering, software repositories;;;CASCON '21
Book;Macero M;Microservices - The Practical Way;;2017;;;;1st;CreateSpace Independent Publishing Platform;North Charleston, SC, USA;;;;2017;9781974307456;;;;This book is a complete guide to building a Microservices Architecture, supported by an application that evolves from a small monolith to a microservice ecosystem. The author follows a very pragmatic approach to explain the benefits of using this type of software architecture, instead of keeping the reader distracted with just theoretical concepts. A practical, evolving example This book, in contrast to guides available on the Internet, is based on a realistic, evolving example. Short guides can't focus on the multiple aspects of building microservices, and normally don't fit into more complex scenarios. Besides, trying to combine these short guides to make up a real application means facing a lot of gaps in the big puzzle of microservices. Guides are too shallow to help you building something real. On the other hand, most books about microservices are sometimes too focused on theory. Some books are usually on the other side of the spectrum. They explain topics like Domain Driven Design, Event Sourcing, Service Discovery, API Gateway, Centralized Logging, Continuous Deployment, DevOps, Reactive Systems, Circuit-Breaker patterns, etc. But that might be overwhelming: where to start? Is it needed to use all of these concepts in a microservice architecture? How to put them in practice? Those are the questions answered in this book, supported with code examples from the included application. Covered topics This book covers some of the state-of-the-art techniques in computer programming, from a practical point of view: - Microservices with Spring Boot - Event Driven Architecture and Messaging with RabbitMQ - RESTful services with Spring - Service Discovery with Eureka and Load Balancing with Ribbon - Routing requests with Zuul as your API Gateway - Test Driven Development: write your tests first - End to End Tests for an Event Driven Architecture using Cucumber - Continuous Integration and Deployment - On the other hand, this book also helps the reader to focus on what's important, - starting with the Minimum Viable Product but keeping the flexibility to evolve it.;;;;
Conference Paper;Rong G,Jin Z,Zhang H,Zhang Y,Ye W,Shao D;DevDocOps: Towards Automated Documentation for DevOps;;2019;;;243–252;;IEEE Press;Montreal, Quebec, Canada;;Proceedings of the 41st International Conference on Software Engineering: Software Engineering in Practice;;2019;;;"https://doi-org.proxy.bnl.lu/10.1109/ICSE-SEIP.2019.00034;http://dx.doi.org/10.1109/ICSE-SEIP.2019.00034";10.1109/ICSE-SEIP.2019.00034;The proliferation of DevOps enables significant acceleration and automation of the delivery and deployment of massive software products. Unfortunately, the development of supporting documents that is vital for large scale software systems in many cases does not keep pace with the rhythm of feature delivery using DevOps in practice, which becomes the bottleneck for many software organizations to deliver full value to the customers as claimed by DevOps. This paper proposes, implements, and evaluates a new approach, DevDocOps, for continuous automated documentation, in particular for DevOps. With DevDocOps, developers are able to create the documents simultaneously with their working versions of software, which largely guarantees the accuracy and integrity of documents as well as significantly increases their delivery speed. Within an established delivery chain, a set of templates are created to collect and transform the required information from its origin to the target documents for delivery. A real system, iDoc, is implemented to map, collect, and synthesizethe information from document templates and automate the documentation process. The iDoc system supports the generation of documents in minutes and the instant feedback loop as well. DevDocOps has been successfully adopted in over 30 large software projects in a top tier global telecommunication enterprise. The lag time between the releases of the product version and its supporting document has been shortened from 1--2 months on average to less than 2 days. DevDocOps extends the scope of DevOps and enhances the value delivery by supporting continuous documentation and bridging the gap between feature delivery and document delivery with automation.;continuous delivery, DevOps;;;ICSE-SEIP '19
Conference Paper;Mattos DI,Bosch J,Holmström Olsson H;ACE: Easy Deployment of Field Optimization Experiments;;;;;264–279;;Springer-Verlag;Berlin, Heidelberg;;Software Architecture;Paris France;;9783030299828;;"https://doi-org.proxy.bnl.lu/10.1007/978-3-030-29983-5_18;http://dx.doi.org/10.1007/978-3-030-29983-5_18";10.1007/978-3-030-29983-5_18;"Optimization of software parameters is a recurring activity in the life-cycle of many software products, from prototypes and simulations, test beds and hardware-in-the-loop scenarios, field calibrations to the evolution of continuous deployment cycles. To perform this activity, software companies require a combination of software developers and optimization experts with domain specific knowledge. Moreover, in each of life-cycle steps, companies utilize a plethora of different tools, tailored for specific domains or development stages. To most companies, this scenario leads to an excessive cost in the optimization of smaller features or in cases where it is not clear what the returned value will be.In this work we present a new optimization system based on field experiments, that is aimed to facilitate the adoption of optimization in all stages of development. We provide two main contributions. First, we present the architecture of a new optimization system that allows existing software systems to perform optimization procedures in different domains and in different development stages. This optimization system utilizes domain-agnostic interfaces to allow existing systems to perform optimization procedures with minimal invasiveness and optimization expertise. Second, we provide an overview of the deployments, discuss the advantages and limitations and evaluate the optimization system in three empirical scenarios: (1) offline optimization with simulations; (2) optimization of a communication system in a test bed in collaboration with Ericsson; (3) live optimization of a mobile application in collaboration with Sony Mobile. We aim to provide practitioners with a single optimization tool that can leverage their optimization activities from offline to live systems, with minimal invasiveness and optimization expertise.";Software architecture, Black-box optimization, Field experiments, Optimization;;;
Conference Paper;Mertens J,Denil J;The Digital Twin as a Common Knowledge Base in DevOps to Support Continuous System Evolution;;2021;;;158–170;;Springer-Verlag;Berlin, Heidelberg;;Computer Safety, Reliability, and Security. SAFECOMP 2021 Workshops: DECSoS, MAPSOD, DepDevOps, USDAI, and WAISE, York, UK, September 7, 2021, Proceedings;York, United Kingdom;2021;9783030839055;;"https://doi-org.proxy.bnl.lu/10.1007/978-3-030-83906-2_12;http://dx.doi.org/10.1007/978-3-030-83906-2_12";10.1007/978-3-030-83906-2_12;There is an industry wide push for faster and more feature rich systems, also in the development of Cyber-Physical Systems (CPS). Therefore, the need for applying agile development practices in the model-based design of CPS is becoming more widespread. This is no easy feat, as CPS are inherently complex, and their model-based development is less suited for agile development. Model-based development does suit the concept of digital twin, that is, design models representing a system instance in operation. In this paper we present an approach where the digital twins of system instances serve as a common-knowledge base for the entire agile development cycle of the system when performing system updates. Doing so enables interesting possibilities, such as the identification and detection of system variants, which is beneficial for the verification and validation of the system update. It also brings along challenges, as the executable physics based digital twin is generally computationally expensive. In this paper we introduce this approach by means of a small example of a swiveling pick and place robotic arm. We also elaborate on related work, and open future challenges.;DevOps, Cyber-physical system, Digital twin;;;
Conference Paper;Jaatun MG,Cruzes DS;Session Details: SecSE 2018: International Workshop on Secure Software Engineering in DevOps and Agile Development;;2018;;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 19th International Conference on Agile Software Development: Companion;Porto, Portugal;2018;9781450364225;;"https://doi-org.proxy.bnl.lu/10.1145/3329522;http://dx.doi.org/10.1145/3329522";10.1145/3329522;;;;;XP '18
Conference Paper;Liu B,Zhang H,Yang L,Dong L,Shen H,Song K;An Experimental Evaluation of Imbalanced Learning and Time-Series Validation in the Context of CI/CD Prediction;;2020;;;21–30;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the Evaluation and Assessment in Software Engineering;Trondheim, Norway;2020;9781450377317;;"https://doi-org.proxy.bnl.lu/10.1145/3383219.3383222;http://dx.doi.org/10.1145/3383219.3383222";10.1145/3383219.3383222;"Background: Machine Learning (ML) has been widely used as a powerful tool to support Software Engineering (SE). The fundamental assumptions of data characteristics required for specific ML methods have to be carefully considered prior to their applications in SE. Within the context of Continuous Integration (CI) and Continuous Deployment (CD) practices, there are two vital characteristics of data prone to be violated in SE research. First, the logs generated during CI/CD for training are imbalanced data, which is contrary to the principles of common balanced classifiers; second, these logs are also time-series data, which violates the assumption of cross-validation. Objective: We aim to systematically study the two data characteristics and further provide a comprehensive evaluation for predictive CI/CD with the data from real projects. Method: We conduct an experimental study that evaluates 67 CI/CD predictive models using both cross-validation and time-series-validation. Results: Our evaluation shows that cross-validation makes the evaluation of the models optimistic in most cases, there are a few counter-examples as well. The performance of the top 10 imbalanced models are better than the balanced models in the predictions of failed builds, even for balanced data. The degree of data imbalance has a negative impact on prediction performance. Conclusion: In research and practice, the assumptions of the various ML methods should be seriously considered for the validity of research. Even if it is used to compare the relative performance of models, cross-validation may not be applicable to the problems with time-series features. The research community need to revisit the evaluation results reported in some existing research.";continuous deployment, continuous integration, imbalanced learning, time-series-validation, cross-validation;;;EASE '20
Conference Paper;Carvalho L,Seco JC;Deep Semantic Versioning for Evolution and Variability;;2021;;;;;Association for Computing Machinery;New York, NY, USA;;23rd International Symposium on Principles and Practice of Declarative Programming;Tallinn, Estonia;2021;9781450386890;;"https://doi-org.proxy.bnl.lu/10.1145/3479394.3479416;http://dx.doi.org/10.1145/3479394.3479416";10.1145/3479394.3479416;The development cycles in the software industry are shrinking due to the increasing demands for shorter time to market and the incremental development style of agile methodologies. Pragmatic software engineering approaches rely on careful product management, a strong versioning discipline, and a feature development strategy to avoid that newly merged code disrupts existing systems. Versioning is critical when managing software product lines and ensuring that all their variants are kept in operation amidst all the performed changes. Such methodologies enforce functional correctness through strong efforts in regression testing, with the associated exponential growth in complexity. In this paper, we propose a language-based approach to software versioning. Unlike the traditional approach of mainstream VCS, where each evolution step is represented by a textual diff, we treat versions as first-class citizens. Each evolution step, merge operation, and version relationship, is represented as code in the program. We extend prior work, Versioned Featherweight Java, to support a full-fledged version control system. First, we introduce multi-branching and merge operations, which allow for more advanced workflows. We also present a slicing procedure implemented in a compile-time tool that extracts well-typed Featherweight Java code for any single version out of a versioned codebase. We present formal soundness results that ensure that the sliced code for any version is well-behaved and has the same behaviour as the multi-version source code. We believe that our developments effectively model relevant domains of software evolution, such as feature-oriented programming, software product lines, and continuous delivery scenarios. By lifting the versioning aspect, usually represented by text diffs, to the language level, we pave the way for tools that interact with software repositories (e.g. CI/CD, GitHub Actions) to have more insight regarding the evolution of the software semantics.;Type system, Program versioning, Program evolution;;;PPDP 2021
Book;Enriquez R,Salazar A;Software Architecture with Spring 5.0: Design and Architect Highly Scalable, Robust, and High-Performance Java Applications;;2018;;;;;Packt Publishing;;;;;2018;9781788992992;;;;Discover how different software architectural models can help you solve problems, and learn best practices for the software development cycle Key Features Learn concepts related to software architecture and embrace them using the latest features of Spring 5Discover architectural models and learn when to apply them Gain knowledge of architectural principles and how they can be used to provide accountability and rationale for architectural decisions Book Description Spring 5 and its ecosystem can be used to build robust architectures effectively. Software architecture is the underlying piece that helps us accomplish our business goals whilst supporting the features that a product demands. This book explains in detail how to choose the right architecture and apply best practices during your software development cycle to avoid technical debt and support every business requirement. Choosing the right architecture model to support your business requirements is one of the key decisions you need to take when a new product is being created from scratch or is being refactored to support new business demands. This book gives you insights into the most common architectural models and guides you when and where they can be used. During this journey, youll see cutting-edge technologies surrounding the Spring products, and understand how to use agile techniques such as DevOps and continuous delivery to take your software to production effectively. By the end of this book, youll not only know the ins and outs of Spring, but also be able to make critical design decisions that surpass your clients expectations. What you will learn Understand the key principles of software architecture Uncover the most common architectural models available Analyze scenarios where an architecture model should be used Implement agile techniques to take your software to production Secure the products you are working on Master tricks that will help you build high-performant applications Use cutting-edge technologies to build products Who this book is for If youre an experienced Spring developer aspiring to become an architect of enterprise-grade applications, this book is for you. Its also ideal for software architects who want to leverage Spring to create effective application blueprints.;;;;
Book;Northwood C;The Full Stack Developer: Your Essential Guide to the Everyday Skills Expected of a Modern Full Stack Web Developer;;2018;;;;1st;Apress;USA;;;;2018;9781484241516;;;;Understand the technical foundations, as well as the non-programming skills needed to be a successful full stack web developer. This book reveals the reasons why a truly successful full stack developer does more than write code. You will learn the principles of the topics needed to help a developer new to agile or full stack working UX, project management, QA, product management, and more all from the point of view of a developer. Covering these skills alongside the fundamentals and foundations of modern web development, rather than specifics of current technologies and frameworks (which can age quickly), all programming examples are given in the context of the web as it is in 2018. Although you need to feel comfortable working on code at the system, database, API, middleware or user interface level, depending on the task in hand, you also need to be able to deal with the big picture and the little details. The Full Stack Developer recognizes skills beyond the technical, and gives foundational knowledge of the wide set of skills needed in a modern software development team. What You'll Learn Plan your work including Agile vs Waterfall, tools, scrum, kanban and continuous delivery Translate UX into code: grids, component libraries and style guides Design systems and system architectures (microservices to monoliths) Review patterns for APIs (SOAP, AJAX, REST), defining API domains, patterns for REST APIs and more API goodness Study the various front-end design patterns you need to know Store data, what to consider for security, deployment, in production and more Who This Book Is For New graduates or junior developers who are transitioning to working as part of a larger team structure in a multi-disciplinary teams and developers previously focused on only front-end or back-end dev transitioning into full stack.;;;;
Conference Paper;Maria TJ,Dizon GR,Esquivel VA,Deja JA,Chua U;Designing Grit: Discovering Features Towards Supporting Novice Programmer DevOps Integration;;2020;;;41–44;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2020 Symposium on Emerging Research from Asia and on Asian Contexts and Cultures;Honolulu, HI, USA;2020;9781450387682;;"https://doi-org.proxy.bnl.lu/10.1145/3391203.3391214;http://dx.doi.org/10.1145/3391203.3391214";10.1145/3391203.3391214;DevOps is usually an industry approach that is practiced by seasoned and experienced programmers and developers. In most university settings especially in the Philippine context, DevOps is not usually part of the curriculum and in some cases are only introduced to learner programmers as an elective or as bonus material. We refer to these students in computing degree programs starting out in learning programming, as novice programmers. Upon graduation, these developers transition into industry roles where they are expected to be familiar with DevOps practices [18]. In most cases, they are not prepared, and fortunately, a great number of them are given training before fully transitioning into their hired roles. In this paper, we attempt to discover and design an intervention mechanism that can assist and prepare novice programmers to easily learn DevOps at an early stage. We gathered data and insights from novice programmers and inquired into their pains and struggles in learning and practicing DevOps. To help them in this process, we propose Grit, a prototype tool to support novice programmers in integrating DevOps. Initial insights provided affordances and design elements for a version control prototype with targetted intervention features. In the long run we intend to discover more insights involving the other stages in DevOps beyond version control.;DevOps, programmer support, novice programmers;;;AsianCHI '20
Journal Article;Behere S,Törngren M;A Functional Reference Architecture for Autonomous Driving;Inf. Softw. Technol.;2016;73;C;136–150;;Butterworth-Heinemann;USA;;;;2016-05;;0950-5849;"https://doi-org.proxy.bnl.lu/10.1016/j.infsof.2015.12.008;http://dx.doi.org/10.1016/j.infsof.2015.12.008";10.1016/j.infsof.2015.12.008;"ContextAs autonomous driving technology matures toward series production, it is necessary to take a deeper look at various aspects of electrical/electronic (E/E) architectures for autonomous driving.ObjectiveThis paper describes a functional reference architecture for autonomous driving, along with various considerations that influence such an architecture. The functionality is described at the logical level, without dependence on specific implementation technologies.MethodEngineering design has been used as the research method, which focuses on creating solutions intended for practical application. The architecture has been refined and applied over a 5 year period to the construction of prototype autonomous vehicles in three different categories, with both academic and industrial stakeholders.ResultsThe architectural components are divided into categories pertaining to (i) perception, (ii) decision and control, and (iii) vehicle platform manipulation. The architecture itself is divided into two layers comprising the vehicle platform and a cognitive driving intelligence. The distribution of components among the architectural layers considers two extremes: one where the vehicle platform is as ""dumb"" as possible, and the other, where the vehicle platform can be treated as an autonomous system with limited intelligence. We recommend a clean split between the driving intelligence and the vehicle platform. The architecture description includes identification of stakeholder concerns, which are grouped under the business and engineering categories. A comparison with similar architectures is also made, wherein we claim that the presence of explicit components for world modeling, semantic understanding, and vehicle platform abstraction seem unique to our architecture.ConclusionThe concluding discussion examines the influences of implementation technologies on functional architectures and how an architecture is affected when a human driver is replaced by a computer. The discussion also proposes that reduction and acceleration of testing, verification, and validation processes is the key to incorporating continuous deployment processes.";Autonomous driving, Reference architecture, Functional architecture, E/E architecture;;;
Conference Paper;Kostromin R,Feoktistov A;Agent-Based DevOps of Software and Hardware Resources for Digital Twins of Infrastructural Objects;;2020;;;;;Association for Computing Machinery;New York, NY, USA;;The 4th International Conference on Future Networks and Distributed Systems (ICFNDS);St.Petersburg, Russian Federation;2020;9781450388863;;"https://doi-org.proxy.bnl.lu/10.1145/3440749.3442599;http://dx.doi.org/10.1145/3440749.3442599";10.1145/3440749.3442599;Nowadays, the problem of automating the software delivery processes and resource configuring in computing environments with parallel and distributed architectures to ensure the functioning of digital twins is highly relevant. A large spectrum of the well-known tools for software configuration management is available. However, most of them do not solve problems emerging in the considered subject domain fully. To this end, we propose a new framework for implementing preparing, debugging, delivering, testing, deploying, and configuring virtualized software of digital twins. Currently, we are developing such twins for analyzing the operation of environmentally friendly equipment of infrastructural objects located in the Baikal natural territory. The proposed framework is based on the integrated applying methods and tools of knowledge engineering, multi-agent technologies, conceptual and service-oriented programming, and administration of hybrid distributed computing systems. These systems can include both personal resources and resources of public access centers, grid systems, and cloud or fog platforms. We carried out the practical experiments with the framework prototype. The obtained results have shown that significant speedup in performing the aforementioned processes can be achieved.;multi-agent system, DevOps, digital twin, Baikal natural territory, infrastructural object;;;ICFNDS '20
Book Chapter;Park J,An S,Youn D,Kim G,Ryu S;JEST: N+1-Version Differential Testing of Both Javascript Engines and Specification;;2021;;;156–157;;IEEE Press;;Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings;;;2021;;;https://doi-org.proxy.bnl.lu/10.1109/ICSE-Companion52605.2021.00065;;Modern programming follows the continuous integration (CI) and continuous deployment (CD) approach rather than the traditional waterfall model. Even the development of modern programming languages uses the CI/CD approach to swiftly provide new language features and to adapt to new development environments. Unlike in the conventional approach, in the modern CI/CD approach, a language specification is no more the oracle of the language semantics because both the specification and its implementations (interpreters or compilers) can co-evolve. In this setting, both the specification and implementations may have bugs, and guaranteeing their correctness is non-trivial.In this paper, we propose a novel N+1-version differential testing to resolve the problem. Unlike the traditional differential testing, our approach consists of three steps: 1) to automatically synthesize programs guided by the syntax and semantics from a given language specification, 2) to generate conformance tests by injecting assertions to the synthesized programs to check their final program states, 3) to detect bugs in the specification and implementations via executing the conformance tests on multiple implementations, and 4) to localize bugs on the specification using statistical information. We actualize our approach for the JavaScript programming language via JEST, which performs N+1-version differential testing for modern JavaScript engines and ECMAScript, the language specification describing the syntax and semantics of JavaScript in a natural language. We evaluated JEST with four JavaScript engines that support all modern JavaScript language features and the latest version of ECMAScript (ES11, 2020). JEST automatically synthesized 1,700 programs that covered 97.78% of syntax and 87.70% of semantics from ES11. Using the assertion-injected JavaScript programs, it detected 44 engine bugs in four different engines and 27 specification bugs in ES11.;;;;
Book Chapter;Park J,An S,Youn D,Kim G,Ryu S;JEST: N+1-Version Differential Testing of Both JavaScript Engines and Specification;;2021;;;13–24;;IEEE Press;;Proceedings of the 43rd International Conference on Software Engineering;;;2021;9781450390859;;https://doi-org.proxy.bnl.lu/10.1109/ICSE43902.2021.00015;;Modern programming follows the continuous integration (CI) and continuous deployment (CD) approach rather than the traditional waterfall model. Even the development of modern programming languages uses the CI/CD approach to swiftly provide new language features and to adapt to new development environments. Unlike in the conventional approach, in the modern CI/CD approach, a language specification is no more the oracle of the language semantics because both the specification and its implementations (interpreters or compilers) can co-evolve. In this setting, both the specification and implementations may have bugs, and guaranteeing their correctness is non-trivial.In this paper, we propose a novel N+1-version differential testing to resolve the problem. Unlike the traditional differential testing, our approach consists of three steps: 1) to automatically synthesize programs guided by the syntax and semantics from a given language specification, 2) to generate conformance tests by injecting assertions to the synthesized programs to check their final program states, 3) to detect bugs in the specification and implementations via executing the conformance tests on multiple implementations, and 4) to localize bugs on the specification using statistical information. We actualize our approach for the JavaScript programming language via JEST, which performs N+1-version differential testing for modern JavaScript engines and ECMAScript, the language specification describing the syntax and semantics of JavaScript in a natural language. We evaluated JEST with four JavaScript engines that support all modern JavaScript language features and the latest version of ECMAScript (ES11, 2020). JEST automatically synthesized 1,700 programs that covered 97.78% of syntax and 87.70% of semantics from ES11. Using the assertion-injected JavaScript programs, it detected 44 engine bugs in four different engines and 27 specification bugs in ES11.;;;;
Book;Reynders F;Modern API Design with ASP.NET Core 2: Building Cross-Platform Back-End Systems;;2018;;;;1st;Apress;USA;;;;2018;9781484235188;;;;"Use ASP.NET Core 2 to create durable and cross-platform web APIs through a series of applied, practical scenarios. Examples in this book help you build APIs that are fast and scalable. Youll progress from the basics of the framework through to solving the complex problems encountered in implementing secure RESTful services. The book is packed full of examples showing how Microsofts ground-up rewrite of ASP.NET Core 2 enables native cross-platform applications that are fast and modular, allowing your cloud-ready server applications to scale as your business grows. Major topics covered in the book include the fundamentals and core concepts of ASP.NET Core 2. You'll learn about building RESTful APIs with the MVC pattern using proven best practices and following the six principles of REST. Examples in the book help in learning to develop world-class web APIs and applications that can run on any platform, including Windows, Linux, and MacOS. You can even deploy to Microsoft Azure and automate your delivery by implementing Continuous Integration and Continuous Deployment pipelines. What You Will Learn Incorporate automated API tooling such as Swagger from the Open API specification Standardize query and response formats using Facebooks Graph QL query language Implement security by applying authentication and authorization using ASP.NET Identity Ensure the safe storage of sensitive data using the data protection stack Create unit and integration tests to guarantee code quality Who This Book Is For Developers who build server applications such as web sites and web APIs that need to run fast and cross platform; programmers who want to implement practical solutions for real-world problems; those who want in-depth knowledge of the latest bits of ASP.NET Core 2.0";;;;
Conference Paper;Gregg B;System Methodology—Holistic Performance Analysis on Modern Systems;;2016;;;;;Association for Computing Machinery;New York, NY, USA;;Applicative 2016;New York, NY, USA;2016;9781450344647;;"https://doi-org.proxy.bnl.lu/10.1145/2959689.2960079;http://dx.doi.org/10.1145/2959689.2960079";10.1145/2959689.2960079;Traditional systems performance engineering makes do with vendor-supplied metrics, often involving interpretation and inference, and with numerous blind spots. Much in the field of systems performance is still living in the past: documentation, procedures, and analysis GUIs built upon the same old metrics. For modern systems, we can choose the metrics, and can choose ones we need to support new holistic performance analysis methodologies. These methodologies provide faster, more accurate, and more complete analysis, and can provide a starting point for unfamiliar systems.Methodologies are especially helpful for modern applications and their workloads, which can pose extremely complex problems with no obvious starting point. There are also continuous deployment environments such as the Netflix cloud, where these problems must be solved in shorter time frames. Fortunately, with advances in system observability and tracers, we have virtually endless custom metrics to aid performance analysis. The problem becomes which metrics to use, and how to navigate them quickly to locate the root cause of problems.System methodologies provide a starting point for analysis, as well as guidance for quickly moving through the metrics to root cause. They also pose questions that the existing metrics may not yet answer, which may be critical in solving the toughest problems. System methodologies include the USE method, workload characterization, drill-down analysis, off-CPU analysis, and more.This talk will discuss various system performance issues, and the methodologies, tools, and processes used to solve them. The focus is on single systems (any operating system), including single cloud instances, and quickly locating performance issues or exonerating the system. Many methodologies will be discussed, along with recommendations for their implementation, which may be as documented checklists of tools, or custom dashboards of supporting metrics. In general, you will learn to think differently about your systems, and how to ask better questions.;;;;Applicative 2016
Conference Paper;Alonso J,Orue-Echevarria L,Escalante M,Benguria G;DECIDE: DevOps for Trusted, Portable and Interoperable Multi-Cloud Applications towards the Digital Single Market;;2017;;;397–404;;SCITEPRESS - Science and Technology Publications, Lda;Setubal, PRT;;Proceedings of the 7th International Conference on Cloud Computing and Services Science;Porto, Portugal;2017;9789897582431;;"https://doi-org.proxy.bnl.lu/10.5220/0006292403970404;http://dx.doi.org/10.5220/0006292403970404";10.5220/0006292403970404;The main objective of the DECIDE action is to provide a new generation of multi-cloud service-basedsoftware framework, enabling techniques and mechanisms to design, develop, and dynamically deploymulti-cloud aware applications in an ecosystem of reliable, interoperable, and legal compliant cloudservices. Three use cases will be conducted to validate the proposed approach.;Multi-Cloud Architectural Patterns., Run-Time Monitoring, Self-adaptation, Deployment Simulation, Intermediation and Federation of Heterogeneous Resources;;;CLOSER 2017
Conference Paper;Miglierina M,Tamburri DA;Towards Omnia: A Monitoring Factory for Quality-Aware DevOps;;2017;;;145–150;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 8th ACM/SPEC on International Conference on Performance Engineering Companion;L'Aquila, Italy;2017;9781450348997;;"https://doi-org.proxy.bnl.lu/10.1145/3053600.3053629;http://dx.doi.org/10.1145/3053600.3053629";10.1145/3053600.3053629;Modern DevOps pipelines entail extreme automation and speed as paramount assets for continuous application improvement. Likewise, monitoring is required to assess the quality of service and user-experience such that applications can continuously evolve towards use-centric excellence. In this scenario however, it is increasingly difficult to pull up and maintain efficient monitoring infrastructures which are frictionless, i.e., they do not introduce any slowdown neither in the DevOps pipeline nor in the DevOps organizational and social structure comprising multiple roles and responsibilities. Using an experimental prototype, this paper elaborates Omnia an approach for structured monitoring configuration and rollout based around a monitoring factory, i.e., a re-interpretation of the factory design-pattern for building and managing ad-hoc monitoring platforms. Comparing with practitioner surveys and the state of the art, we observed that Omnia shows the promise of delivering an effective solution that tackles the steep learning curve and entry costs needed to embrace cloud monitoring and monitoring-based DevOps continuous improvement.;monitoring, monitoring factory, monitoring interface, monitoring configuration as code, monitoring infrastructure as code, monitoring management;;;ICPE '17 Companion
